Match Number,date,Team1,Team2,Venue,first_batting_team,first_innings_score,second_batting_team,second_innings_score,Winning Team,Won by,winning_margin
0,"February 19, 2025",Gujarat Giants Women,Royal Challengers Bengaluru Women,"BCA Stadium, Vadodara",Gujarat Giants Women,201/5,RCB Women,202/4,Royal Challengers Bengaluru Women,6 wkts,7 wickets (with 1 ball remaining)
1,"Sat, 15 Feb '25",Mumbai Indians Women,Delhi Capitals Women,"BCA Stadium, Vadodara",Mumbai Indians Women,164,Delhi Capitals Women,"(20 ov, T:165) 165/8",Delhi Capitals Women,2 wkts,2 wickets (with 0 balls remaining)
2,"Sun, 16 Feb '25",UP Warriorz Women,Gujarat Giants Women,"BCA Stadium, Vadodara",UP Warriorz Women,143/9,Gujarat Giants Women,"(18/20 ov, T:144) 144/4",Gujarat Giants Women,6 wkts,6 wickets (with 12 balls remaining)
3,"Mon, 17 Feb '25",Delhi Capitals Women,Royal Challengers Bengaluru Women,"BCA Stadium, Vadodara",DC Women,141,RCB Women,"(16.2/20 ov, T:142) 146/2",Royal Challengers Bengaluru Women,8 wkts,8 wickets (with 22 balls remaining)
4,"Tue, 18 Feb '25",Gujarat Giants Women,Mumbai Indians Women,"BCA Stadium, Vadodara",Gujarat Giants Women,120,Mumbai Indians Women,"(16.1/20 ov, T:121) 122/5",Mumbai Indians Women,5 wkts,5 wickets (with 23 balls remaining)
5,"Wed, 19 Feb '25",UP Warriorz Women,Delhi Capitals Women,"BCA Stadium, Vadodara",UP Warriorz Women,166/7,Delhi Capitals Women,"(19.5/20 ov, T:167) 167/3",Delhi Capitals Women,7 wkts,7 wickets (with 1 ball remaining)
6,"Fri, 21 Feb '25",Royal Challengers Bengaluru Women,Mumbai Indians Women,"M.Chinnaswamy Stadium, Bengaluru",RCB Women,167/7,MI Women,"(19.5/20 ov, T:168) 170/6",Mumbai Indians Women,4 wkts,4 wickets (with 1 ball remaining)
7,"Sat, 22 Feb '25",UP Warriorz Women,Delhi Capitals Women,"M.Chinnaswamy Stadium, Bengaluru",UP Warriorz Women,177/9,Delhi Capitals Women,"(19.3/20 ov, T:178) 144",UP Warriorz Women,33 runs,33 runs
8,"Mon, 24 Feb '25",Royal Challengers Bengaluru Women,UP Warriorz Women,"M.Chinnaswamy Stadium, Bengaluru",RCB Women,180/6,UPW Women,"(20 ov, T:181) 180",Match tied (UP Warriorz Women won in Super Over),Match tied (UP Warriorz Women won in Super Over),Match tied (UPW Women won the Super Over)
9,"Tue, 25 Feb '25",Gujarat Giants Women,Delhi Capitals Women,"M.Chinnaswamy Stadium, Bengaluru",Gujarat Giants Women,127/9,Delhi Capitals Women,"(15.1/20 ov, T:128) 131/4",Delhi Capitals Women,6 wkts,6 wickets (with 29 balls remaining)
10,"Wed, 26 Feb '25",UP Warriorz Women,Mumbai Indians Women,"M.Chinnaswamy Stadium, Bengaluru",UP Warriorz Women,142/9,Mumbai Indians Women,"(17/20 ov, T:143) 143/2",Mumbai Indians Women,8 wkts,8 wickets (with 18 balls remaining)
11,"Thu, 27 Feb '25",Royal Challengers Bengaluru Women,Gujarat Giants Women,"M.Chinnaswamy Stadium, Bengaluru",RCB Women,125/7,GG Women,"(16.3/20 ov, T:126) 126/4",Gujarat Giants Women,6 wkts,6 wickets (with 21 balls remaining)
12,"Fri, 28 Feb '25",Mumbai Indians Women,Delhi Capitals Women,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians Women,123/9,Delhi Capitals Women,"(14.3/20 ov, T:124) 124/1",Delhi Capitals Women,9 wkts,9 wickets (with 33 balls remaining)
13,"Sat, 01 Mar '25",Royal Challengers Bengaluru Women,Delhi Capitals Women,"M.Chinnaswamy Stadium, Bengaluru",RCB Women,147/5,DC Women,"(15.3/20 ov, T:148) 151/1",Delhi Capitals Women,9 wkts,9 wickets (with 27 balls remaining)
14,"Mon, 03 Mar '25",Gujarat Giants Women,UP Warriorz Women,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Giants Women,186/5,UP Warriorz Women,"(17.1/20 ov, T:187) 105",Gujarat Giants Women,81 runs,81 runs
15,"Thu, 06 Mar '25",UP Warriorz Women,Mumbai Indians Women,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",UP Warriorz Women,150/9,Mumbai Indians Women,"(18.3/20 ov, T:151) 153/4",Mumbai Indians Women,6 wkts,6 wickets (with 9 balls remaining)
16,"Fri, 07 Mar '25",Delhi Capitals Women,Gujarat Giants Women,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Delhi Capitals Women,177/5,Gujarat Giants Women,"(19.3/20 ov, T:178) 178/5",Gujarat Giants Women,5 wkts,5 wickets (with 3 balls remaining)
17,"Sat, 08 Mar '25",UP Warriorz Women,Royal Challengers Bengaluru Women,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",UPW Women,225/5,RCB Women,"(19.3/20 ov, T:226) 213",UP Warriorz Women,12 runs,12 runs
18,"Mon, 10 Mar '25",Mumbai Indians Women,Gujarat Giants Women,"Brabourne Stadium, Mumbai",Mumbai Indians Women,179/6,Gujarat Giants Women,"(20 ov, T:180) 170",Mumbai Indians Women,9 runs,9 runs
19,"Tue, 11 Mar '25",Royal Challengers Bengaluru Women,Mumbai Indians Women,"Brabourne Stadium, Mumbai",RCB Women,199/3,MI Women,"(20 ov, T:200) 188/9",Royal Challengers Bengaluru Women,11 runs,11 runs
20,"Thu, 13 Mar '25",Mumbai Indians Women,Gujarat Giants Women,"Brabourne Stadium, Mumbai",Mumbai Indians Women,213/4,Gujarat Giants Women,"(19.2/20 ov, T:214) 166",Mumbai Indians Women,47 runs,47 runs
